result,table,_start,_stop,_time,_value,_field,_measurement,host,topic
_result,0,2025-05-07 23:00:00+00:00,2025-05-08 01:00:00+00:00,2025-05-07 23:15:55.350079+00:00,44.4,humidity,mqtt_consumer,FryingMachine,OUTDOOREVENING/FINALE
_result,0,2025-05-07 23:00:00+00:00,2025-05-08 01:00:00+00:00,2025-05-07 23:15:59.091236+00:00,44.4,humidity,mqtt_consumer,FryingMachine,OUTDOOREVENING/FINALE
_result,0,2025-05-07 23:00:00+00:00,2025-05-08 01:00:00+00:00,2025-05-07 23:16:02.838340+00:00,44.4,humidity,mqtt_consumer,FryingMachine,OUTDOOREVENING/FINALE
_result,0,2025-05-07 23:00:00+00:00,2025-05-08 01:00:00+00:00,2025-05-07 23:16:06.587557+00:00,44.5,humidity,mqtt_consumer,FryingMachine,OUTDOOREVENING/FINALE
_result,0,2025-05-07 23:00:00+00:00,2025-05-08 01:00:00+00:00,2025-05-07 23:16:10.331835+00:00,44.5,humidity,mqtt_consumer,FryingMachine,OUTDOOREVENING/FINALE
_result,0,2025-05-07 23:00:00+00:00,2025-05-08 01:00:00+00:00,2025-05-07 23:16:14.079670+00:00,44.5,humidity,mqtt_consumer,FryingMachine,OUTDOOREVENING/FINALE
_result,0,2025-05-07 23:00:00+00:00,2025-05-08 01:00:00+00:00,2025-05-07 23:16:17.829449+00:00,44.6,humidity,mqtt_consumer,FryingMachine,OUTDOOREVENING/FINALE
_result,0,2025-05-07 23:00:00+00:00,2025-05-08 01:00:00+00:00,2025-05-07 23:16:21.572550+00:00,44.6,humidity,mqtt_consumer,FryingMachine,OUTDOOREVENING/FINALE
_result,0,2025-05-07 23:00:00+00:00,2025-05-08 01:00:00+00:00,2025-05-07 23:16:25.320561+00:00,44.7,humidity,mqtt_consumer,FryingMachine,OUTDOOREVENING/FINALE
_result,0,2025-05-07 23:00:00+00:00,2025-05-08 01:00:00+00:00,2025-05-07 23:16:29.067417+00:00,44.6,humidity,mqtt_consumer,FryingMachine,OUTDOOREVENING/FINALE
_result,0,2025-05-07 23:00:00+00:00,2025-05-08 01:00:00+00:00,2025-05-07 23:16:32.813440+00:00,44.6,humidity,mqtt_consumer,FryingMachine,OUTDOOREVENING/FINALE
_result,0,2025-05-07 23:00:00+00:00,2025-05-08 01:00:00+00:00,2025-05-07 23:16:36.560747+00:00,44.7,humidity,mqtt_consumer,FryingMachine,OUTDOOREVENING/FINALE
